Date,Monte Carlo,DL,Dynamic DL
2020-05-05,52.317764001374655,23.622735176885833,12.675259690458594
2020-05-06,49.59561888041498,22.16244218015104,12.18391195881427
2020-05-07,49.05710291291307,23.90343269583854,14.638692807501272
2020-05-08,52.81941915484966,26.32900311815349,18.628050540693582
2020-05-11,56.75662673795773,28.247077644759177,20.93476932252516
2020-05-12,60.572105492239714,29.476124527757026,22.613968755032317
2020-05-13,65.63870751796367,35.748868790429455,27.77637038389581
2020-05-14,62.952768479490565,34.014389734134475,26.724354118944987
2020-05-15,59.56644789313773,33.31602613219186,24.42346789304822
2020-05-18,51.89306798894233,23.203407527409524,14.991317467438456
2020-05-19,54.476767019144944,28.30622557519003,19.878599556657676
2020-05-20,60.928100941951236,33.450061802664436,24.458565946454804
2020-05-21,64.94143946158015,37.90668876082293,30.175676441103153
2020-05-22,66.85879774267048,41.70537552514313,33.38427158800161
2020-05-26,64.89506245431423,42.509962681123085,32.40986480045176
2020-05-27,66.91475341428958,43.91031228624256,33.296127437876486
2020-05-28,67.44663704739496,45.27425840919899,33.805989896894424
2020-05-29,77.33105347292943,55.01371281130546,42.086481443694545
2020-06-01,84.13780410262612,60.31692868283986,46.41361901060152
2020-06-02,85.96012449498153,67.08813103472343,52.00912625829933
2020-06-03,90.06810093135692,78.14930480444924,60.8451947472562
2020-06-04,91.65898951440454,75.72467682469028,61.399207057446375
2020-06-05,92.34700826289338,74.42666469995304,62.29520322732149
2020-06-08,95.13205893224006,75.85600223437075,64.3053153311608
2020-06-09,92.83510192322208,74.56599260490756,62.16062714634346
2020-06-10,90.11812738269766,73.37306137927806,60.83861751972729
2020-06-11,85.49129243637184,69.90003231159633,56.870309999953996
2020-06-12,85.44296637528156,68.88548062449505,55.90086342840733
2020-06-15,87.72649148270919,77.14692247118062,60.30818576068567
2020-06-16,86.91702612537502,76.4242491104469,59.42329367400044
2020-06-17,85.72910741834446,75.50617490686192,58.3536380004728
2020-06-18,89.83595679106378,81.4328204114094,61.88138835938963
2020-06-19,94.93203808388603,89.46741522519547,69.67124814452511
2020-06-22,96.86351775597991,91.90535446902793,74.08832119838117
2020-06-23,106.22994249284544,103.48513769113946,82.61210690647594
2020-06-24,103.00785097611124,103.58374520144307,84.64110290005068
2020-06-25,105.48022140651905,110.86598686081776,91.64354959024972
2020-06-26,102.95902461312696,104.40462790789324,86.15690709416495
2020-06-29,96.43021147425654,95.99906710151325,77.46516066182593
2020-06-30,96.52383682330962,96.24364083730184,75.63143251675793
2020-07-01,98.40635101578101,102.50689131434443,80.42302798321754
2020-07-02,103.67961618876853,109.12988388928792,87.01763839893461
2020-07-03,103.09425071583215,107.78861199174419,85.45431808134938
2020-07-06,102.29034482401752,107.0145196384573,84.92115308231922
2020-07-07,101.84631095067327,103.76756886440522,82.83840224353543
2020-07-08,102.03049350977803,105.91234326026903,83.15512250822917
2020-07-09,103.9333618498497,108.91073738973292,84.74759764433799
2020-07-10,104.80826733286791,107.97946125548417,83.53638545219441
2020-07-13,108.89674855191988,114.23341485429899,86.80855991536944
2020-07-14,102.45501186609347,106.5490628764888,79.67711978761692
2020-07-15,104.6912865560075,108.27217698371878,80.35197060400327
2020-07-16,104.84246936575552,105.7007589334259,78.58564309989409
2020-07-17,108.47915635576183,110.08686710149087,93.40584286713056
2020-07-20,117.16359753527271,122.32957855842704,107.23642970371311
2020-07-21,119.77868040666208,125.8787926907215,108.94567641602318
2020-07-22,119.64962175696535,129.13832836455205,109.51689485683988
2020-07-23,128.18748745145126,137.3326297925055,116.4118075615202
2020-07-24,125.049516072796,134.65689997645785,94.89415804898232
2020-07-27,120.80717688762994,125.94887559455545,91.20069865585553
2020-07-28,118.27285953073304,121.27556479789527,88.66316054160377
2020-07-29,127.06040769845232,134.39466412790392,116.03513395705589
2020-07-30,128.17781453872024,129.6321653762534,113.5348599904934
2020-07-31,138.08802975302353,143.75738877730126,123.35935406883763
2020-08-03,144.13035410896657,153.46011336118403,126.9596831840718
