Date,Close,Open,High,Low,Volume
05/02/18,664.05,661.00,674.50,650.50,4698722.00
06/02/18,664.50,641.00,679.00,632.55,6704557.00
07/02/18,661.80,668.00,682.20,657.00,6789521.00
08/02/18,671.45,660.05,677.00,654.00,5845590.00
09/02/18,685.30,663.70,690.00,660.15,9140288.00
12/02/18,713.10,716.00,716.90,697.40,12036307.00
14/02/18,708.00,719.30,720.50,704.55,4885951.00
15/02/18,700.55,711.35,719.15,697.25,5131245.00
16/02/18,689.75,708.00,709.50,683.60,5012760.00
19/02/18,648.85,693.40,693.40,639.00,17658708.00
20/02/18,651.30,654.80,661.50,648.15,10214478.00
21/02/18,640.95,654.90,655.55,633.00,10307539.00
22/02/18,637.55,640.35,647.80,632.85,8950631.00
23/02/18,677.75,640.85,686.40,639.00,21866214.00
26/02/18,680.20,680.00,692.65,673.20,9199775.00
27/02/18,671.75,681.40,686.90,669.20,6805376.00
28/02/18,671.60,663.85,675.00,660.00,7112650.00
01/03/18,675.05,671.35,685.00,670.05,7128399.00
05/03/18,655.90,669.25,669.30,651.80,9785466.00
06/03/18,659.75,664.85,674.00,656.55,8414960.00
07/03/18,647.70,657.00,661.40,644.65,5130577.00
08/03/18,635.90,656.90,660.95,632.70,7126105.00
09/03/18,606.75,640.05,646.75,601.50,18096367.00
12/03/18,622.90,614.45,626.40,606.40,12193581.00
13/03/18,628.85,623.00,633.20,614.35,10490405.00
14/03/18,620.55,624.00,630.90,618.60,8655181.00
15/03/18,611.75,620.00,622.60,609.60,7510951.00
16/03/18,600.20,611.75,613.90,594.40,11739582.00
19/03/18,574.95,600.00,601.90,572.85,12542317.00
20/03/18,593.00,571.00,600.90,568.45,17645035.00
21/03/18,582.25,598.95,601.70,580.50,11939451.00
22/03/18,580.90,582.70,587.45,572.00,11486245.00
23/03/18,566.50,560.05,568.80,553.50,14133550.00
26/03/18,581.55,568.90,588.35,560.80,10929998.00
27/03/18,590.00,590.45,599.00,587.55,10038168.00
28/03/18,571.05,581.05,583.00,565.30,18655057.00
02/04/18,578.80,573.10,580.30,568.10,6889345.00
03/04/18,579.70,570.20,585.45,568.35,10508317.00
04/04/18,560.55,583.10,590.50,557.55,13909893.00
